robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,2.12,2.12,1.85,86.31,63.91
robot2,2.12,2.12,2.18,76.24,50.11
robot1,2.12,2.345,N/A,N/A,N/A
robot2,2.12,2.345,2.17,84.38,19.26
robot1,2.12,2.5700000000000003,N/A,N/A,N/A
robot2,2.12,2.5700000000000003,2.06,88.71,23.53
robot1,2.12,2.795,N/A,N/A,N/A
robot2,2.12,2.795,3.16,48.42,23.68
robot1,2.12,3.02,1.59,96.02,41.70
robot2,2.12,3.02,1.80,87.00,32.48
robot1,2.12,3.245,1.59,95.96,43.18
robot2,2.12,3.245,2.36,72.55,66.92
robot1,2.12,3.4699999999999998,1.60,96.26,45.10
robot2,2.12,3.4699999999999998,1.62,89.57,35.68
robot1,2.12,3.695,N/A,N/A,N/A
robot2,2.12,3.695,2.42,67.21,15.00
robot1,2.12,3.92,1.58,96.31,45.07
robot2,2.12,3.92,1.64,89.38,35.54
robot1,2.345,2.12,1.89,89.86,45.69
robot2,2.345,2.12,2.26,75.77,42.12
robot1,2.345,2.345,1.80,93.04,43.03
robot2,2.345,2.345,1.98,87.03,37.97
robot1,2.345,2.5700000000000003,1.88,88.70,44.34
robot2,2.345,2.5700000000000003,2.27,68.90,33.76
robot1,2.345,2.795,1.65,95.34,42.74
robot2,2.345,2.795,2.43,68.79,49.16
robot1,2.345,3.02,1.92,85.81,68.82
robot2,2.345,3.02,2.01,85.00,58.10
robot1,2.345,3.245,2.08,82.06,70.66
robot2,2.345,3.245,2.10,80.74,35.17
robot1,2.345,3.4699999999999998,1.60,95.70,41.06
robot2,2.345,3.4699999999999998,N/A,N/A,N/A
robot1,2.345,3.695,1.66,92.43,45.14
robot2,2.345,3.695,2.04,80.15,34.83
robot1,2.345,3.92,1.60,95.72,42.10
robot2,2.345,3.92,1.74,88.78,32.75
robot1,2.5700000000000003,2.12,1.72,94.37,41.44
robot2,2.5700000000000003,2.12,2.19,71.37,37.90
robot1,2.5700000000000003,2.345,1.77,93.13,58.01
robot2,2.5700000000000003,2.345,2.32,72.20,46.06
robot1,2.5700000000000003,2.5700000000000003,1.95,87.33,64.47
robot2,2.5700000000000003,2.5700000000000003,2.02,83.15,49.37
robot1,2.5700000000000003,2.795,1.83,92.31,43.01
robot2,2.5700000000000003,2.795,2.05,80.09,33.72
robot1,2.5700000000000003,3.02,1.77,92.09,42.24
robot2,2.5700000000000003,3.02,2.11,77.36,32.39
robot1,2.5700000000000003,3.245,1.69,93.01,60.13
robot2,2.5700000000000003,3.245,1.71,94.33,32.31
robot1,2.5700000000000003,3.4699999999999998,1.70,90.03,44.01
robot2,2.5700000000000003,3.4699999999999998,1.72,89.93,34.22
robot1,2.5700000000000003,3.695,1.85,85.81,63.71
robot2,2.5700000000000003,3.695,2.32,74.69,35.80
robot1,2.5700000000000003,3.92,N/A,N/A,N/A
robot2,2.5700000000000003,3.92,2.97,60.00,17.29
robot1,2.795,2.12,1.93,84.01,59.39
robot2,2.795,2.12,2.61,55.87,49.66
robot1,2.795,2.345,N/A,N/A,N/A
robot2,2.795,2.345,N/A,N/A,N/A
robot1,2.795,2.5700000000000003,1.68,95.45,42.34
robot2,2.795,2.5700000000000003,2.39,66.99,53.13
robot1,2.795,2.795,N/A,N/A,N/A
robot2,2.795,2.795,2.29,82.09,22.16
robot1,2.795,3.02,1.75,93.11,45.97
robot2,2.795,3.02,1.86,87.94,39.22
robot1,2.795,3.245,N/A,N/A,N/A
robot2,2.795,3.245,3.43,40.74,15.95
robot1,2.795,3.4699999999999998,1.64,96.08,42.93
robot2,2.795,3.4699999999999998,2.20,76.89,42.44
robot1,2.795,3.695,1.64,94.05,45.23
robot2,2.795,3.695,2.08,83.39,44.31
robot1,2.795,3.92,N/A,N/A,N/A
robot2,2.795,3.92,2.75,58.42,25.55
robot1,3.02,2.12,2.04,84.14,42.53
robot2,3.02,2.12,2.37,62.02,46.28
robot1,3.02,2.345,2.07,79.49,51.61
robot2,3.02,2.345,N/A,N/A,N/A
robot1,3.02,2.5700000000000003,N/A,N/A,N/A
robot2,3.02,2.5700000000000003,2.26,71.43,17.92
robot1,3.02,2.795,1.88,90.73,43.62
robot2,3.02,2.795,2.23,72.66,45.73
robot1,3.02,3.02,2.31,75.58,109.07
robot2,3.02,3.02,2.15,79.74,83.33
robot1,3.02,3.245,1.76,91.69,43.21
robot2,3.02,3.245,2.19,77.49,52.86
robot1,3.02,3.4699999999999998,2.09,80.90,64.02
robot2,3.02,3.4699999999999998,1.95,85.00,32.75
robot1,3.02,3.695,1.92,89.23,76.92
robot2,3.02,3.695,2.26,73.68,41.69
robot1,3.02,3.92,1.78,92.27,46.54
robot2,3.02,3.92,2.13,75.40,36.34
robot1,3.245,2.12,2.15,79.33,42.64
robot2,3.245,2.12,2.23,58.42,32.38
robot1,3.245,2.345,N/A,N/A,N/A
robot2,3.245,2.345,N/A,N/A,N/A
robot1,3.245,2.5700000000000003,1.91,89.86,42.01
robot2,3.245,2.5700000000000003,2.13,74.69,40.46
robot1,3.245,2.795,1.95,87.94,64.69
robot2,3.245,2.795,2.25,70.63,54.72
robot1,3.245,3.02,1.87,90.83,45.47
robot2,3.245,3.02,2.19,76.79,36.07
robot1,3.245,3.245,N/A,N/A,N/A
robot2,3.245,3.245,2.35,66.67,19.99
robot1,3.245,3.4699999999999998,1.73,91.76,46.23
robot2,3.245,3.4699999999999998,2.19,70.51,68.38
robot1,3.245,3.695,1.66,95.24,44.78
robot2,3.245,3.695,2.39,72.22,35.64
robot1,3.245,3.92,1.64,96.74,42.04
robot2,3.245,3.92,2.09,80.18,33.37
robot1,3.4699999999999998,2.12,2.06,76.38,47.35
robot2,3.4699999999999998,2.12,2.38,62.08,39.77
robot1,3.4699999999999998,2.345,2.18,74.56,48.89
robot2,3.4699999999999998,2.345,2.27,60.43,37.17
robot1,3.4699999999999998,2.5700000000000003,N/A,N/A,N/A
robot2,3.4699999999999998,2.5700000000000003,2.52,55.36,18.93
robot1,3.4699999999999998,2.795,2.12,78.81,60.61
robot2,3.4699999999999998,2.795,2.09,75.65,39.24
robot1,3.4699999999999998,3.02,N/A,N/A,N/A
robot2,3.4699999999999998,3.02,2.35,75.93,21.16
robot1,3.4699999999999998,3.245,1.71,91.83,44.94
robot2,3.4699999999999998,3.245,2.08,75.00,36.86
robot1,3.4699999999999998,3.4699999999999998,2.05,86.04,70.55
robot2,3.4699999999999998,3.4699999999999998,2.44,58.99,32.09
robot1,3.4699999999999998,3.695,N/A,N/A,N/A
robot2,3.4699999999999998,3.695,2.23,80.65,20.30
robot1,3.4699999999999998,3.92,1.74,92.79,60.23
robot2,3.4699999999999998,3.92,2.38,74.07,35.17
robot1,3.695,2.12,2.09,76.83,44.31
robot2,3.695,2.12,2.42,55.21,34.50
robot1,3.695,2.345,2.23,73.21,44.79
robot2,3.695,2.345,2.33,62.78,38.90
robot1,3.695,2.5700000000000003,1.94,82.16,43.38
robot2,3.695,2.5700000000000003,2.15,65.89,34.25
robot1,3.695,2.795,2.09,81.34,45.16
robot2,3.695,2.795,2.28,62.04,42.77
robot1,3.695,3.02,1.89,87.03,43.05
robot2,3.695,3.02,2.38,67.07,44.06
robot1,3.695,3.245,1.96,88.12,59.09
robot2,3.695,3.245,2.35,69.57,34.64
robot1,3.695,3.4699999999999998,1.92,88.81,55.88
robot2,3.695,3.4699999999999998,2.35,64.88,32.46
robot1,3.695,3.695,1.90,89.25,63.76
robot2,3.695,3.695,2.29,63.92,34.76
robot1,3.695,3.92,1.83,89.40,44.25
robot2,3.695,3.92,2.43,67.81,34.72
robot1,3.92,2.12,2.27,65.69,45.72
robot2,3.92,2.12,2.35,58.02,39.08
robot1,3.92,2.345,2.13,70.89,44.70
robot2,3.92,2.345,2.36,60.19,38.56
robot1,3.92,2.5700000000000003,N/A,N/A,N/A
robot2,3.92,2.5700000000000003,N/A,N/A,N/A
robot1,3.92,2.795,2.19,77.72,59.32
robot2,3.92,2.795,2.28,62.50,37.11
robot1,3.92,3.02,2.26,73.52,59.90
robot2,3.92,3.02,2.11,69.63,48.51
robot1,3.92,3.245,2.01,86.37,72.41
robot2,3.92,3.245,2.23,61.65,49.10
robot1,3.92,3.4699999999999998,2.02,85.67,43.74
robot2,3.92,3.4699999999999998,2.45,65.04,44.96
robot1,3.92,3.695,1.84,88.13,81.51
robot2,3.92,3.695,2.42,62.21,54.22
robot1,3.92,3.92,1.79,92.42,46.76
robot2,3.92,3.92,2.16,77.27,41.34
